host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_private_rooms
2013-06-19,"Bristol, United Kingdom",a few days or more,0%,20%,f,1.0,t,t,Redland,51.4727742,-2.6124678,Entire home/apt,2.0,2.0,2 baths,2.0,2.0,30.0,150.0,30.0,150.0,0.0,160.0,0.0,f,1.0,0.0
2015-12-29,"Bristol, United Kingdom",within an hour,100%,100%,t,2.0,t,t,Avonmouth & Lawrence Weston,51.48493,-2.674,Private room,2.0,0.0,0 shared baths,1.0,1.0,2.0,1125.0,2.0,1125.0,0.0,0.0,17.0,f,2.0,1.0
2014-05-11,"Bristol, United Kingdom",within an hour,100%,100%,t,1.0,t,t,Clifton,51.45469,-2.62241,Private room,2.0,1.0,1 private bath,1.0,1.0,2.0,6.0,2.0,1125.0,13.0,29.0,302.0,f,1.0,1.0
2019-09-22,,within an hour,100%,100%,f,1.0,t,t,Horfield,51.49252,-2.58702,Entire home/apt,9.0,3.5,3.5 baths,4.0,8.0,3.0,365.0,2.0,365.0,11.0,88.0,16.0,t,1.0,0.0
2019-01-14,"Bristol, United Kingdom",within an hour,100%,100%,t,60.0,t,t,Lawrence Hill,51.4545934,-2.5784534,Entire home/apt,6.0,2.0,2 baths,3.0,4.0,2.0,1125.0,2.0,2.0,18.0,309.0,55.0,t,47.0,0.0
2014-08-18,"Bristol, TN",within an hour,100%,50%,f,1.0,t,t,Hotwells & Harbourside,51.4506,-2.60721,Entire home/apt,4.0,2.5,2.5 baths,2.0,2.0,5.0,1125.0,5.0,1125.0,30.0,365.0,43.0,f,1.0,0.0
2014-06-10,"Bristol, United Kingdom",within an hour,100%,100%,t,39.0,t,f,Henbury & Brentry,51.5,-2.62185,Entire home/apt,4.0,3.0,3 baths,4.0,4.0,3.0,365.0,3.0,999.0,7.0,67.0,3.0,t,20.0,0.0
2019-08-19,"Banwell, United Kingdom",within an hour,100%,100%,t,2.0,t,t,Southville,51.44174,-2.60287,Entire home/apt,2.0,1.0,1 bath,1.0,2.0,2.0,1125.0,1.0,1125.0,5.0,192.0,67.0,f,1.0,0.0
2017-08-24,,within an hour,100%,100%,t,1.0,t,t,Windmill Hill,51.43985366821289,-2.5905590057373047,Entire home/apt,4.0,1.0,1 bath,1.0,1.0,2.0,1125.0,1.0,1125.0,13.0,111.0,350.0,t,1.0,0.0
2023-08-18,,,,36%,f,1.0,t,f,Frome Vale,51.48616,-2.52,Private room,1.0,1.0,1 shared bath,1.0,1.0,1.0,365.0,1.0,365.0,30.0,365.0,0.0,f,1.0,1.0
2015-05-27,"Bristol, United Kingdom",,,,f,1.0,t,t,Ashley,51.4612176,-2.5860845,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,3.0,365.0,3.0,1125.0,6.0,341.0,0.0,f,1.0,0.0
2020-09-07,,within an hour,100%,97%,t,2.0,t,t,St George West,51.463961,-2.5470223,Private room,2.0,1.0,1 shared bath,1.0,1.0,1.0,365.0,1.0,365.0,25.0,360.0,7.0,f,2.0,2.0
2016-06-13,"Bristol, United Kingdom",within an hour,100%,96%,t,1.0,t,t,Frome Vale,51.48861,-2.53989,Private room,1.0,1.0,1 shared bath,1.0,1.0,1.0,89.0,1.0,1125.0,20.0,76.0,172.0,f,1.0,1.0
2021-11-27,,,,73%,t,1.0,t,f,Knowle,51.44062,-2.56965,Entire home/apt,4.0,1.5,1.5 baths,2.0,2.0,3.0,365.0,2.0,365.0,0.0,77.0,32.0,f,1.0,0.0
2016-03-31,"Bristol, United Kingdom",within an hour,100%,100%,f,210.0,t,t,Lawrence Hill,51.4568807,-2.5816885,Entire home/apt,2.0,0.0,0 baths,,1.0,1.0,365.0,1.0,365.0,6.0,318.0,0.0,t,148.0,3.0
2012-10-15,"Bristol, United Kingdom",within an hour,100%,100%,t,1.0,t,t,Ashley,51.46126,-2.58598,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,2.0,1125.0,1.0,1125.0,10.0,320.0,452.87,t,1.0,0.0
2013-10-29,"Bristol, United Kingdom",within an hour,100%,68%,t,1.0,t,f,Southville,51.44117,-2.60729,Private room,2.0,1.0,1 private bath,1.0,1.0,2.0,3.0,1.0,3.0,9.0,17.0,124.0,f,1.0,1.0
2016-04-20,"Bristol, United Kingdom",within an hour,100%,76%,t,2.0,t,t,Clifton,51.4516,-2.61695,Entire home/apt,9.0,4.0,6 baths,4.0,5.0,3.0,14.0,3.0,14.0,23.0,348.0,0.0,f,2.0,0.0
2016-09-27,"Bristol, United Kingdom",a few days or more,0%,0%,f,1.0,t,t,Eastville,51.4712895,-2.5474184,Private room,2.0,1.0,1 bath,1.0,1.0,1.0,365.0,1.0,365.0,29.0,89.0,0.0,f,1.0,1.0
2022-06-30,,within an hour,100%,100%,f,54.0,t,t,Central,51.45647,-2.59458,Entire home/apt,8.0,1.0,1 bath,2.0,4.0,1.0,365.0,2.0,99.0,29.0,262.0,15.0,t,32.0,0.0
2014-06-23,"Bristol, United Kingdom",within a few hours,100%,57%,f,2.0,t,t,Redland,51.47035,-2.59722,Entire home/apt,7.0,2.0,2 baths,4.0,0.0,21.0,45.0,21.0,45.0,0.0,59.0,4.0,f,2.0,0.0
2013-08-13,"Bristol, United Kingdom",within a day,100%,68%,t,1.0,t,t,Cotham,51.46455169999999,-2.5914614,Private room,1.0,1.0,1 shared bath,1.0,1.0,2.0,25.0,2.0,25.0,23.0,355.0,21.0,f,1.0,1.0
2018-05-26,"England, United Kingdom",within an hour,100%,97%,t,2.0,t,t,Bishopston & Ashley Down,51.48158,-2.59513,Private room,2.0,1.0,1 shared bath,1.0,1.0,1.0,14.0,1.0,1125.0,17.0,226.0,354.0,f,1.0,1.0
2016-06-16,"England, United Kingdom",within an hour,100%,98%,t,1.0,t,t,St George Troopers Hill,51.45077,-2.52294,Entire home/apt,2.0,1.0,1 bath,1.0,0.0,2.0,1125.0,1.0,1125.0,18.0,75.0,135.0,f,1.0,0.0
2016-02-27,"Bristol, United Kingdom",within an hour,100%,84%,t,2.0,t,t,Southville,51.44351,-2.60659,Private room,1.0,1.5,1.5 shared baths,1.0,1.0,3.0,90.0,2.0,90.0,29.0,362.0,205.0,f,2.0,2.0
2021-12-01,,within an hour,99%,97%,f,46.0,t,t,Central,51.46042,-2.60748,Entire home/apt,1.0,1.0,1 bath,1.0,1.0,1.0,365.0,1.0,999.0,25.0,360.0,34.0,t,30.0,0.0
2012-11-23,"England, United Kingdom",within an hour,100%,100%,f,4.0,t,t,Clifton Down,51.46032,-2.61208,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,2.0,365.0,2.0,365.0,5.0,5.0,16.0,t,3.0,0.0
2016-02-19,"Bristol, United Kingdom",within an hour,100%,40%,f,1.0,t,f,Clifton Down,51.45837636553642,-2.608896139691024,Private room,1.0,1.0,1 shared bath,1.0,1.0,1.0,365.0,1.0,365.0,30.0,365.0,1.0,f,1.0,1.0
2019-07-18,"England, United Kingdom",within a few hours,100%,100%,f,1.0,t,t,Ashley,51.46079101367783,-2.5850564784117607,Private room,2.0,1.0,1 private bath,1.0,1.0,2.0,5.0,2.0,5.0,10.0,17.0,0.0,f,1.0,1.0
2014-11-19,"Bristol, United Kingdom",within an hour,100%,83%,t,1.0,t,t,Cotham,51.46683,-2.60569,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,3.0,4.0,1.0,4.0,0.0,30.0,208.0,f,1.0,0.0
2019-09-19,"Bristol, United Kingdom",within an hour,100%,100%,t,1.0,t,t,Brislington West,51.44472,-2.55179,Private room,1.0,1.5,1.5 shared baths,1.0,1.0,1.0,1125.0,1.0,1125.0,16.0,349.0,121.0,f,1.0,1.0
2023-07-21,"Bristol, United Kingdom",within an hour,100%,100%,f,1.0,f,t,Hartcliffe & Withywood,51.40751,-2.62406,Private room,1.0,1.0,1 shared bath,1.0,1.0,1.0,1125.0,1.0,1125.0,0.0,224.0,6.0,f,1.0,1.0
2022-06-30,,within an hour,100%,100%,f,54.0,t,t,St George West,51.45915707177949,-2.5516649531350293,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,1.0,365.0,1.0,1.0,0.0,11.0,1.0,t,32.0,0.0
2022-06-30,,within an hour,100%,100%,f,54.0,t,t,Central,51.45581,-2.59331,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,1.0,365.0,2.0,99.0,27.0,267.0,3.0,t,32.0,0.0
2024-12-15,,within an hour,100%,99%,f,27.0,t,t,Clifton,51.45807920704037,-2.614282017354056,Entire home/apt,6.0,1.0,1 bath,2.0,4.0,2.0,365.0,2.0,365.0,20.0,347.0,5.0,t,4.0,0.0
2021-07-11,"Calne, United Kingdom",,,,f,1.0,t,t,Central,51.45447049867649,-2.5957724824547768,Entire home/apt,4.0,1.0,1 bath,1.0,1.0,2.0,365.0,2.0,365.0,6.0,248.0,121.0,t,1.0,0.0
2017-04-13,"Bristol, United Kingdom",within an hour,99%,97%,f,100.0,t,t,Central,51.45912435880409,-2.606503028536298,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1.0,365.0,2.0,365.0,23.0,330.0,22.0,t,67.0,0.0
2017-04-13,"Bristol, United Kingdom",within an hour,99%,97%,f,100.0,t,t,Central,51.45986,-2.60241,Entire home/apt,3.0,1.0,1 bath,1.0,2.0,1.0,1125.0,2.0,1125.0,30.0,333.0,31.0,f,67.0,0.0
2016-08-18,"Bristol, United Kingdom",within an hour,100%,100%,f,1.0,t,t,Clifton Down,51.470718,-2.61406,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,2.0,365.0,1.0,365.0,0.0,229.0,159.0,t,1.0,0.0
2021-10-11,,,,,f,1.0,f,f,Windmill Hill,51.4429768,-2.5774594,Private room,1.0,0.5,Half-bath,1.0,1.0,1.0,1.0,1.0,1.0,29.0,89.0,2.0,f,1.0,1.0
2014-03-11,"Folkestone, United Kingdom",within an hour,100%,91%,t,2.0,t,t,Southmead,51.5,-2.58861,Private room,1.0,1.0,1 shared bath,1.0,1.0,1.0,2.0,1.0,2.0,18.0,35.0,417.0,f,2.0,2.0
2020-05-10,"Bristol, United Kingdom",a few days or more,0%,0%,f,1.0,t,t,Horfield,51.48999,-2.58419,Private room,2.0,1.0,1 shared bath,1.0,3.0,7.0,1125.0,7.0,1125.0,29.0,364.0,4.0,f,1.0,1.0
2012-08-31,"Bristol, United Kingdom",within a few hours,100%,75%,t,1.0,t,t,Easton,51.46812,-2.56068,Private room,1.0,1.0,1 shared bath,1.0,1.0,4.0,6.0,3.0,6.0,29.0,179.0,38.0,f,1.0,1.0
2024-11-23,,,,100%,f,1.0,f,t,Ashley,51.46318085322908,-2.585289986905343,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,3.0,365.0,3.0,365.0,30.0,90.0,1.0,f,1.0,0.0
2015-10-31,"Bristol, United Kingdom",within an hour,100%,95%,f,2.0,t,t,Knowle,51.43583,-2.57287,Entire home/apt,2.0,1.0,1 bath,0.0,1.0,2.0,1125.0,2.0,1125.0,6.0,13.0,413.0,f,2.0,0.0
2019-08-09,"Bristol, United Kingdom",within a few hours,100%,96%,t,1.0,t,t,Redland,51.47894,-2.59482,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,2.0,14.0,2.0,14.0,1.0,5.0,55.0,f,1.0,0.0
2021-01-03,,within an hour,90%,99%,f,3.0,t,t,Eastville,51.47429,-2.54923,Entire home/apt,8.0,1.5,1.5 baths,3.0,7.0,2.0,1125.0,2.0,1125.0,20.0,259.0,47.0,t,3.0,0.0
2014-01-09,"Bristol, United Kingdom",within a day,88%,26%,f,2.0,t,t,Bedminster,51.437959595505646,-2.6070952913801717,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,3.0,7.0,2.0,7.0,7.0,30.0,3.0,f,2.0,1.0
2014-01-28,"England, United Kingdom",within a few hours,100%,0%,f,2.0,t,f,Easton,51.4695,-2.56004,Private room,3.0,1.0,1 bath,1.0,1.0,4.0,365.0,4.0,365.0,29.0,269.0,0.0,f,2.0,1.0
